,DOM,TSCounter,time,tot
403,16.0,1623055030.2,50598859.0,25.0
404,17.0,1623055030.2,50598855.0,26.0
405,18.0,1623055030.2,50598855.0,25.0
406,1.0,1623055031.2,67319003.0,25.0
407,2.0,1623055031.2,67319007.0,25.0
408,4.0,1623055031.2,67319001.0,25.0
409,5.0,1623055031.2,67318999.0,25.0
410,6.0,1623055031.2,67319008.0,25.0
411,7.0,1623055031.2,67319005.0,25.0
412,8.0,1623055031.2,67319002.0,25.0
413,9.0,1623055031.2,67318999.0,25.0
414,10.0,1623055031.2,67319004.0,25.0
415,11.0,1623055031.2,67319002.0,25.0
416,12.0,1623055031.2,67318999.0,25.0
417,14.0,1623055031.2,67318999.0,25.0
418,16.0,1623055031.2,67319003.0,25.0
419,17.0,1623055031.2,67319000.0,25.0
420,18.0,1623055031.2,67318999.0,25.0
421,1.0,1623055032.2,84039708.0,25.0
422,2.0,1623055032.2,84039711.0,25.0
423,4.0,1623055032.2,84039706.0,25.0
424,5.0,1623055032.2,84039703.0,25.0
425,6.0,1623055032.2,84039712.0,26.0
426,7.0,1623055032.2,84039710.0,25.0
427,8.0,1623055032.2,84039707.0,25.0
428,9.0,1623055032.2,84039704.0,25.0
429,10.0,1623055032.2,84039709.0,25.0
430,11.0,1623055032.2,84039707.0,25.0
431,12.0,1623055032.2,84039704.0,25.0
432,14.0,1623055032.2,84039704.0,25.0
433,16.0,1623055032.2,84039708.0,25.0
434,17.0,1623055032.2,84039705.0,25.0
435,18.0,1623055032.2,84039704.0,25.0
436,1.0,1623055033.3,760130.0,25.0
437,2.0,1623055033.3,760133.0,25.0
438,4.0,1623055033.3,760128.0,25.0
439,5.0,1623055033.3,760125.0,25.0
440,6.0,1623055033.3,760134.0,25.0
441,7.0,1623055033.3,760132.0,25.0
442,8.0,1623055033.3,760129.0,25.0
443,9.0,1623055033.3,760126.0,25.0
444,10.0,1623055033.3,760131.0,25.0
445,11.0,1623055033.3,760129.0,25.0
446,12.0,1623055033.3,760126.0,25.0
447,14.0,1623055033.3,760126.0,25.0
448,16.0,1623055033.3,760130.0,25.0
449,17.0,1623055033.3,760126.0,25.0
450,18.0,1623055033.3,760126.0,25.0
451,1.0,1623055034.3,17480069.0,25.0
452,2.0,1623055034.3,17480073.0,24.0
453,4.0,1623055034.3,17480067.0,25.0
454,5.0,1623055034.3,17480064.0,25.0
455,6.0,1623055034.3,17480073.0,25.0
456,7.0,1623055034.3,17480071.0,25.0
457,8.0,1623055034.3,17480068.0,25.0
458,9.0,1623055034.3,17480065.0,25.0
459,10.0,1623055034.3,17480070.0,25.0
460,11.0,1623055034.3,17480068.0,25.0
461,12.0,1623055034.3,17480065.0,25.0
462,14.0,1623055034.3,17480065.0,25.0
463,16.0,1623055034.3,17480069.0,25.0
464,17.0,1623055034.3,17480066.0,25.0
465,18.0,1623055034.3,17480065.0,25.0
466,1.0,1623055035.3,34200227.0,25.0
467,2.0,1623055035.3,34200230.0,25.0
468,4.0,1623055035.3,34200225.0,25.0
469,5.0,1623055035.3,34200222.0,25.0
470,6.0,1623055035.3,34200231.0,25.0
471,7.0,1623055035.3,34200229.0,25.0
472,8.0,1623055035.3,34200226.0,25.0
473,9.0,1623055035.3,34200223.0,25.0
474,10.0,1623055035.3,34200228.0,25.0
475,11.0,1623055035.3,34200226.0,25.0
476,12.0,1623055035.3,34200223.0,25.0
477,14.0,1623055035.3,34200223.0,25.0
478,16.0,1623055035.3,34200227.0,25.0
479,17.0,1623055035.3,34200224.0,25.0
480,18.0,1623055035.3,34200223.0,25.0
481,1.0,1623055036.3,50920177.0,25.0
482,2.0,1623055036.3,50920180.0,25.0
483,4.0,1623055036.3,50920174.0,25.0
484,5.0,1623055036.3,50920172.0,25.0
485,6.0,1623055036.3,50920181.0,25.0
486,7.0,1623055036.3,50920179.0,25.0
487,8.0,1623055036.3,50920176.0,25.0
488,9.0,1623055036.3,50920173.0,25.0
489,10.0,1623055036.3,50920178.0,25.0
490,11.0,1623055036.3,50920175.0,25.0
491,12.0,1623055036.3,50920173.0,25.0
492,14.0,1623055036.3,50920173.0,25.0
493,16.0,1623055036.3,50920176.0,25.0
494,17.0,1623055036.3,50920173.0,25.0
495,18.0,1623055036.3,50920172.0,25.0
496,1.0,1623055037.3,67640040.0,25.0
497,2.0,1623055037.3,67640043.0,25.0
498,4.0,1623055037.3,67640038.0,25.0
499,5.0,1623055037.3,67640035.0,25.0
500,6.0,1623055037.3,67640044.0,25.0
501,7.0,1623055037.3,67640042.0,25.0
502,8.0,1623055037.3,67640039.0,25.0
503,9.0,1623055037.3,67640036.0,25.0
504,10.0,1623055037.3,67640041.0,25.0
505,11.0,1623055037.3,67640039.0,25.0
506,12.0,1623055037.3,67640036.0,25.0
507,14.0,1623055037.3,67640036.0,25.0
508,16.0,1623055037.3,67640040.0,25.0
509,17.0,1623055037.3,67640036.0,25.0
