,DOM,time
1600,14,85208900
1601,16,85208904
1602,18,85208900
1603,1,1929674
1604,2,1929677
1605,6,1929678
1606,11,1929669
1607,12,1929679
1608,13,1929670
1609,14,1929673
1610,16,1929677
1611,18,1929673
1612,1,18650079
1613,2,18650083
1614,6,18650084
1615,11,18650075
1616,12,18650084
1617,13,18650076
1618,14,18650079
1619,16,18650083
1620,18,18650078
1621,1,35370785
1622,2,35370789
1623,6,35370790
1624,11,35370781
1625,12,35370790
1626,13,35370782
1627,14,35370785
1628,16,35370788
1629,18,35370784
1630,1,52091005
1631,2,52091008
1632,6,52091009
1633,11,52091000
1634,12,52091010
1635,13,52091001
1636,14,52091004
1637,16,52091008
1638,18,52091004
1639,1,68811323
1640,2,68811326
1641,6,68811327
1642,11,68811318
1643,12,68811328
1644,13,68811319
1645,14,68811322
1646,16,68811326
1647,18,68811322
1648,1,85531899
1649,2,85531902
1650,6,85531903
1651,11,85531894
1652,12,85531904
1653,13,85531895
1654,14,85531898
1655,16,85531902
1656,18,85531898
1657,1,2252903
1658,2,2252906
1659,6,2252907
1660,11,2252898
1661,12,2252908
1662,13,2252899
1663,14,2252902
1664,16,2252906
1665,18,2252902
1666,1,18972862
