,DOM,TSCounter,time
415,1.0,1620656678.6,77071781.0
416,2.0,1620656678.6,77071784.0
417,6.0,1620656678.6,77071785.0
418,11.0,1620656678.6,77071782.0
419,12.0,1620656678.6,77071779.0
420,13.0,1620656678.6,77071783.0
421,14.0,1620656678.6,77071774.0
422,16.0,1620656678.6,77071778.0
423,18.0,1620656678.6,77071774.0
424,1.0,1620656679.6,93792442.0
425,2.0,1620656679.6,93792445.0
426,6.0,1620656679.6,93792446.0
427,11.0,1620656679.6,93792444.0
428,12.0,1620656679.6,93792441.0
429,13.0,1620656679.6,93792445.0
430,14.0,1620656679.6,93792435.0
431,16.0,1620656679.6,93792439.0
432,18.0,1620656679.6,93792435.0
433,1.0,1620656680.7,10512757.0
434,2.0,1620656680.7,10512760.0
435,6.0,1620656680.7,10512761.0
436,11.0,1620656680.7,10512758.0
437,12.0,1620656680.7,10512755.0
438,13.0,1620656680.7,10512759.0
439,14.0,1620656680.7,10512750.0
440,16.0,1620656680.7,10512754.0
441,18.0,1620656680.7,10512749.0
442,1.0,1620656681.7,27233175.0
443,2.0,1620656681.7,27233179.0
444,6.0,1620656681.7,27233180.0
445,11.0,1620656681.7,27233177.0
446,12.0,1620656681.7,27233174.0
447,13.0,1620656681.7,27233178.0
448,14.0,1620656681.7,27233169.0
449,16.0,1620656681.7,27233172.0
450,18.0,1620656681.7,27233168.0
451,1.0,1620656682.7,43953550.0
452,2.0,1620656682.7,43953553.0
453,6.0,1620656682.7,43953554.0
454,11.0,1620656682.7,43953552.0
455,12.0,1620656682.7,43953549.0
456,13.0,1620656682.7,43953553.0
457,14.0,1620656682.7,43953543.0
458,16.0,1620656682.7,43953547.0
459,18.0,1620656682.7,43953543.0
460,1.0,1620656683.7,60673950.0
461,2.0,1620656683.7,60673953.0
462,6.0,1620656683.7,60673954.0
463,11.0,1620656683.7,60673951.0
464,12.0,1620656683.7,60673949.0
465,13.0,1620656683.7,60673952.0
466,14.0,1620656683.7,60673943.0
467,16.0,1620656683.7,60673947.0
